Track ID,Titel,Artist,ISRC,Popularity
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,USUG11904206,25
0FE9t6xYkqWXU2ahLh6D8X,Shape of You,Ed Sheeran,GBAHS1600463,8
2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,Lewis Capaldi,DEUM71807062,72
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,USSM12200612,19
7lQqaqZu0vjxzpdATOIsDt,Starboy,"The Weeknd, Daft Punk",USUG11600976,2
1A6OTy97kk0mMdm78rHsm8,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",USUM71814888,6
1xznGGDReH1oQq0xzbwXa3,One Dance,"Drake, Wizkid, Kyla",USCM51600028,5
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,USSM11300080,92
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",USSM12103949,13
6VRghJeP6I0w1KxkdWFfIh,Believer,Imagine Dragons,USUM71700626,3
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,GBUM72000433,18
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,GBAHS1700024,90
5ZULALImTm80tzUbYQYM9d,Dance Monkey,Tones And I,QZES71982312,71
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",USUM71804190,89
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,DEE861600586,87
7wGoVu4Dady5GV0Sv4UIsx,rockstar,"Post Malone, 21 Savage",USUM71710087,13
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",USQX91601347,89
1dNIEtp7AY3oDAKCGg2XkH,Something Just Like This,"The Chainsmokers, Coldplay",USQX91700278,74
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,USSM11912587,86
0TK2YIli7K1leLovkQiNik,Señorita,"Shawn Mendes, Camila Cabello",USUM71911283,80
1KqlVt63Q4bl1VdSlymr5C,Riptide,Vance Joy,USAT21301412,54
7dS5EaCoMnN7DzlpT6aRn2,Take Me To Church,Hozier,IEACJ1300031,1
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,GBARL1300107,89
7dFC7tmwFknyPq3k32jiik,Don't Start Now,Dua Lipa,GBAHT1901121,42
519uJbE3zyKLlToVA65PrP,Counting Stars,OneRepublic,USUM71301306,6
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,GBAHS1400094,88
0X8DcetL926BYiPJYstJTc,Lucid Dreams,Juice WRLD,USUG11800685,0
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,GBAYE0000267,93
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,GBCEL1300373,93
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,USUM71915699,87
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,USUG11901472,91
6T8cJz5lAqGer9GUHGyelE,God's Plan,Drake,USCM51800004,3
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",GMM881200021,82
1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,Queen,GBUM71029604,10
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,USSM11607555,88
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,GBAHS1400099,85
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,USUM71900764,84
6mORGLOz79w6VsCRLWYYuK,The Night We Met,Lord Huron,US53Q1200103,1
2VxeLyX666F8uXCJ0dZF8B,Shallow,"Lady Gaga, Bradley Cooper",USUM71813192,86
3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,USUM71516761,9
56lBX2WHqfGuoeZxZvUnVj,Thunder,Imagine Dragons,USUM71704167,2
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,USUG11601011,82
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,USSM11303954,88
6g1NlCpW7fgqDnWbCCDrHl,Wake Me Up - Radio Edit,Avicii,SEUM71301326,9
2Oehrcv4Kov0SuIgWyQY9e,Demons,Imagine Dragons,USUM71201071,7
0ysmhSqZrkiRkRH4mH8rDn,The Hills,The Weeknd,USUG11500737,1
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,USAT21500597,88
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,GBAYE0800265,90
47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,Bruno Mars,USAT21001269,84
62vpWI1CHwFy7tMIcSStl8,No Role Modelz,J. Cole,USQX91402598,12
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,USUG11800208,82
14msK75pk3pA33pzPVNtBF,7 rings,Ariana Grande,USUM71900110,4
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,USUYG1156892,82
